戲劇知識綜合,#genre#
民視,rtmp://119.81.124.89/sat/tv051
民視,rtmp://219.80.97.77/sat/tv051
民視,rtmp://219.80.97.15/sat/tv051
民視,http://23.237.10.66:16334/
台視,http://107.151.203.111:2209/135/us50.php?id=tsk
台視,http://23.237.10.66:16344
台視,rtmp://119.81.124.89/sat/tv071
中視,rtmp://119.81.124.89/sat/tv091
華視,rtmp://119.81.124.89/sat/tv111
華視,http://218.32.47.179:18503/.m3u8
華視,http://218.32.47.179:18503/http/192.168.1.9:8081/hls/72/814/ch48.m3u8
公視,http://218.32.47.179:18505/http/192.168.1.9:8081/hls/73/815/ch50.m3u8
原住民電視台,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
幸福空間,https://raw.githubusercontent.com/StanleyChen0924/Myself/YTlive/gstv.m3u8
台灣戲劇台,https://ytm2.yuanhsing.cf/FTVDRAMA.m3u8
三立台灣台,http://220.134.196.147:9531/index.m3u8
三立台灣台,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
三立台灣台,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_1/chunklist.m3u8*~hmac=91a79f89ab6475a9ebdb69c9ff188cae5c1ae81d1afde64daecd53e989c9bfc3
三立台灣台,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_2/chunklist.m3u8*~hmac=34c6c254e7df415612fbc4534d54b5e7ccb6d1174b17a27d2a639798d9765173
三立都會台,http://220.134.196.147:9526/http/60.251.39.91:8081/hls/65/807/ch19.m3u8
三立都會台,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
三立都會台,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_1/chunklist.m3u8*~hmac=89f79f6442fed7c3b4bc9388123ebb72802d3aa1a6129f24d1a6d59f4fad72dd
三立都會台,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_2/chunklist.m3u8*~hmac=4d5a5a64d3a2099102a144761bc8c65b0f79b9b0421e984cbba7dde5dec1ccd3
三立綜合台,http://220.134.196.147:9556/index.m3u8
緯來日本,http://220.134.196.147:9537/http/60.251.39.91:8081/hls/69/811/ch34.m3u8
人間衛視,http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8#http://123.51.229.65:18561/.m3u8#http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人間衛視,http://www.336699.live:1935/blocksix/4gtv-live008.stream/chunklist.m3u8
衛視中文台,http://220.134.196.147:9554/http/60.251.39.91:8081/hls/65/807/ch19.m3u8
天才衝衝衝,https://ytm2.yuanhsing.cf/TBSCTSSHOW.m3u8
緯來育樂台,http://123.51.229.65:18541/.m3u8
緯來育樂台,http://220.134.196.147:9569/http/59.120.8.187:8081/hls/68/810/ch30.m3u8
緯來育樂台,http://220.134.196.147:9569/playlist.m3u8
緯來日本,http://220.134.196.147:9537/http/60.251.39.91:8081/hls/69/811/ch34.m3u8
緯來日本,rtmp://119.81.124.89/sat/tv771
緯來戲劇台,http://220.134.196.147:9542/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
緯來綜合台,http://123.51.229.65:18540/.m3u8#http://60.251.33.252:18540/.m3u8
緯來育樂台,http://220.134.196.147:9561/http/116.50.42.19:8081/hls/68/810/ch30.m3u8
緯來育樂台,rtmp://119.81.124.89/sat/tv701
好消息,http://218.32.47.179:8508/http/192.168.1.9:8081/hls/74/816/ch53.m3u8
國興衛視,http://220.134.196.147:9578/http/116.50.42.19:8081/hls/64/806/ch15.m3u8
國興衛視,http://220.134.196.147:9546/http/116.50.42.19:8081/hls/64/806/ch15.m3u8
東風37,http://220.134.196.147:9578/http/60.251.39.91:8081/hls/68/810/ch31.m3u8
東風37,http://123.51.229.65:18560/.m3u8
東森綜合台,http://220.134.196.147:9553/index.m3u8
東森超視,rtmp://119.81.124.89/sat/tv521
東森戲劇台,http://123.51.229.65:18538/.m3u8
東森戲劇台,http://60.251.33.252:18538/.m3u8
年代much,http://220.134.196.147:9529/http/60.251.39.91:8081/hls/72/814/ch45.m3u8
年代much,http://www.yshmzmc.top/gtjm.php?id=live2002
中天綜合台,http://23.237.10.66:16372/
中天綜合台,http://2023.stream-link.org/playlist/cti_zh
中天綜合台,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.m3u8
中天綜合台,http://220.134.196.147:9550/http/60.251.39.91:8081/hls/67/809/ch25.m3u8
中天娛樂台,http://220.134.196.147:9549/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
中視菁采台,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u
中天美食旅遊,http://www.336699.live:1935/blocksix/4gtv-live123.stream/chunklist.m3u8
全民最大黨,http://www.336699.live:1935/blocksix/4gtv-live076.stream/chunklist.m3u8
靖天育樂台,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
KLT-靖天國際台,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
Nice TV靖天歡樂台,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天戲劇台,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
靖天戲劇台,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
靖天映畫,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
靖洋戲劇台,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
TLC旅遊生活,http://220.134.196.147:9567/http/116.50.42.19:8081/hls/70/812/ch38.m3u8
TVBS歡樂台,rtmp://119.81.124.89/sat/tv421
大愛,http://218.32.47.179:8507/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
大愛2台,http://gg.gg/HeNeiIPTV-Da_Ai_Er_Tai_HD
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
龍華偶像,http://220.134.196.147:9539/http/59.120.8.187:8066/hls/210/10012/cstv12.m3u8
龍華日韓,http://www.336699.live:1935/blockfour/litv-longturn11.stream/playlist.m3u8
八大電視,https://ytm2.yuanhsing.cf/GTVDRAMA.m3u8
八大第一台,http://123.51.229.65:18539/.m3u8
八大第一台,http://60.251.33.252:18539/.m3u8
八大第一台,http://www.yshmzmc.top/gtjm.php?id=live1043
八大戲劇台,http://220.134.196.147:9543/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
東森購物1台,http://www.336699.live:1935/blocksix/4gtv-live047.stream/chunklist.m3u8
東森購物3台,http://www.336699.live:1935/blocksix/4gtv-live046.stream/chunklist.m3u8
星衛娛樂,http://23.237.10.66:16359
美國中文,https://jpts.sinovision.net/livestream.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
翡翠台,http://123.51.230.108:18551/.m3u8
lifetime,http://www.336699.live:1935/blocksix/4gtv-live029.stream/chunklist.m3u8
live互動英語,http://www.336699.live:1935/blocksix/4gtv-live030.stream/chunklist.m3u8
寵物tv,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
全球trekker,http://www.336699.live:1935/blocksix/4gtv-live112.stream/chunklist.m3u8
ELTA生活旅遊,http://www.336699.live:1935/blocksix/4gtv-live120.stream/chunklist.m3u8
ELTA娛樂,http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
LUXE TV,http://www.336699.live:1935/blocksix/4gtv-live121.stream/chunklist.m3u8
STYLE,http://www.336699.live:1935/blocksix/4gtv-live122.stream/chunklist.m3u8
MCE,http://www.336699.live:1935/blocksix/4gtv-live157.stream/chunklist.m3u8
GOOD TV,http://www.336699.live:1935/blockfour/litv-ftv10.stream/playlist.m3u8
MOMO綜合,rtmp://119.81.124.89/sat/tv761
GINX電玩,http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
ARIRANG,http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
TRACE URBAN,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
MEZZO,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
rollor,http://www.336699.live:1935/blocksix/4gtv-live012.stream/chunklist.m3u8
影迷紀實,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8

新聞,#genre#
TVBS新聞台,rtmp://219.80.97.77/sat/tv551
TVBS新聞台,rtmp://119.81.124.89/sat/tv551
TVBSGlobalNews,https://ytm2.yuanhsing.cf/TVBSNEWS01.m3u8
東森新聞台,http://220.134.196.147:9535/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞台,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞台,https://ytm2.yuanhsing.cf/newsebc.m3u8
台視新聞台,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
台視新聞台,http://2023.stream-link.org/playlist/ttv_news
台視新聞台,http://www.terrykang.xyz:35455/youtube/xL0ch83RAK8
中視新聞台,https://ytm2.yuanhsing.cf/twctvnews.m3u8
中視新聞台,http://2023.stream-link.org/playlist/ctv_news
中視新聞台,http://www.terrykang.xyz:35455/youtube/TCnaIE_SAtM
中視新聞台,https://ytm2.yuanhsing.cf/twctvnews.m3u8
民視新聞台,https://ytm2.yuanhsing.cf/FTVCP.m3u8
民視新聞台,http://123.51.230.108:18663/.m3u8
中天新聞台,https://ytm2.yuanhsing.cf/ctitv.m3u8
壹電視新聞台,http://220.134.196.147:9570/http/116.50.42.18:8081/hls/66/808/ch24.m3u8
壹電視新聞台,http://60.251.59.180:8501/.m3u8
寰宇新聞台,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
三立新聞台,http://220.134.196.147:9532/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞台,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
三立新聞台,http://60.251.59.180:8506/ch18.m3u8
三立新聞台,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞台,http://2023.stream-link.org/playlist/set_news.flv
三立iNEW+,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立iNEWS,https://ytm2.yuanhsing.cf/setmoney159.m3u8
三立iNEWS,http://jiandjh.51vip.biz:35455/youtube/CKjSm5ZeehE?quality=1080
東森財經,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經,rtmp://119.81.124.89/sat/tv571
東森財經,http://123.51.230.108:18515/.m3u8
TVBS HD,http://2023.stream-link.org/playlist/tvbs
年代新聞,http://220.134.196.147:9517/index.m3u8
FOX新聞,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
鏡新聞Mnews,https://ytm2.yuanhsing.cf/mnews.m3u8
